economy,Inflacion_A,IDH,PIB_perca,GPEDU_PIB,Suicidio_rate,Salario empleados,Desempleo_total,Esperanza_vida,POB_+65,Homicidios_inte
AGO,29.8435866918797,0.361,2313.22058359692,2.46687889099121,6.0,22.6000003814697,7.40799999237061,60.379,2.23919656477835,25.187131882878752
ALB,2.0605984592022,0.621,4531.0193737689,3.61173009872437,4.7,42.9000015258789,13.6199998855591,78.333,13.329073296329,2.01097785878705
ARE,1.96682557818839,0.659,40644.7911908818,4.363172310122375,5.6,96.5299987792969,2.46000003814697,77.647,1.03467797621702,10.01368589877675
ARG,3.7630974975001408,0.611,14613.041824658,5.45431995391846,8.9,74.6600036621094,8.35000038146973,76.372,10.9897071133897,5.27344256316347
ARM,0.969553268816231,0.572,3914.52785436696,2.70759010314941,3.0,59.6599998474121,17.7000007629395,74.797,11.0966448892298,2.37708032731717
AUS,1.94864740944522,0.803,53934.2501750463,5.13680982589722,13.1,83.0999984741211,5.59000015258789,82.5,15.4040208878559,0.846057447544743
AUT,2.08126911385587,0.793,47429.1584564387,5.37159013748169,15.4,87.620002746582,5.5,81.6439024390244,18.9565733220815,0.793659612090928
BGD,5.70207015717245,0.479,1839.58337801163,4.095541308501574,3.5,39.5,4.36999988555908,72.052,5.14947500781286,2.22249468847879
BOL,2.8227580554717,0.5221446038407141,3351.12434432642,8.65999984741211,6.4,31.1399993896484,3.65000009536743,70.945,7.04587882180194,6.40587346228884
BRA,3.44637335032672,0.56,9928.67589653405,6.32047986984253,6.6,67.6999969482422,12.8199996948242,75.456,8.60549199443827,30.6918279543765
BTN,4.9550836698513,0.5142092956218826,3286.59674376682,7.2257399559021,4.6,27.6299991607666,2.45300006866455,71.129,5.9249184844205,1.74364875939391
CAN,1.5968841285297,0.799,45129.4292980922,4.9920436989666435,13.0,84.7600021362305,6.34000015258789,81.9,16.8424915594931,1.81585088635439
CHE,0.533787839825886,0.767,83352.0886533412,4.9515700340271,14.6,85.1399993896484,4.80000019073486,83.5512195121951,18.4308671298436,0.532179284814903
CHN,1.59313600071434,0.673,8816.98690451989,3.66744995117188,8.1,53.4000015258789,4.44000005722046,76.47,10.3451204570585,0.562271460841508
COL,4.3121410323773,0.593,6376.70671552601,4.53551006317139,4.7,48.9099998474121,8.86999988555908,76.925,8.19908853104178,25.0195032312923
CRI,1.62590692991729,0.619,12225.5744931385,7.06980991363525,6.1,75.6900024414063,8.14000034332275,79.914,9.25051020676152,12.1819289266266
DEU,1.50949655801608,0.795,44652.5891722719,4.87182998657227,12.6,89.8000030517578,3.75,80.9926829268293,21.3714880478767,0.983565991452848
DNK,1.14713216957606,0.774,57610.0981801135,7.75243997573853,11.3,91.6600036621094,5.82999992370605,81.1024390243903,19.6594928993276,1.23860029792698
DOM,3.27955694678546,0.492,7609.35327534023,3.92026996612549,5.7,56.0400009155273,5.82999992370605,73.689,6.87998520703305,11.5665096658829
ESP,1.95607633363964,0.743,28170.1678643302,4.20777988433838,8.2,83.5100021362305,17.2199993133545,83.2829268292683,19.1458487271796,0.658128503341824
EST,3.41723549488057,0.747,20437.765376736,4.96131992340088,18.7,89.8000030517578,5.76000022888184,78.0926829268293,19.3131674485937,2.19798709857366
FIN,0.754015047084413,0.814,46412.1364777169,6.36311006546021,15.9,86.8199996948242,8.64000034332275,81.6317073170732,21.2787526007594,1.21566825828487
FJI,3.34757834757835,0.47270032746075963,6101.02388950081,4.65118980407715,9.3,56.5,4.27799987792969,67.252,5.29209911802147,17.061450348414276
FRA,1.03228275064674,0.765,38781.0494870836,5.45160007476807,14.6,88.3899993896484,9.40999984741211,82.5756097560976,19.6689967687709,1.25380705093894
GBR,2.55775577557754,0.781,40857.7555829627,5.38499021530151,8.2,84.629997253418,4.32999992370605,81.2560975609756,18.2911350395904,1.21239436302261
GRC,1.12125452031427,0.681,18582.0893411631,3.47708988189697,5.1,65.9300003051758,21.4899997711182,81.2878048780488,21.3993537979744,0.813665877946901
IDN,3.80879806953163,0.535,3837.57802362633,2.6699800491333,2.4,48.810001373291,3.88000011444092,71.282,5.68194834038824,14.275816755401813
IND,3.32817337461301,0.44,1980.66701982802,4.30544996261597,12.0,22.6599998474121,5.35799980163574,69.165,5.98311331737929,3.06399577877492
IRL,0.340531561461793,0.806,69774.0289724953,3.50928997993469,10.0,84.5500030517578,6.71000003814697,82.1560975609756,13.5066550900967,0.820485891745091
ISL,1.76041559180606,0.74,72010.1490316258,7.58385992050171,12.2,88.0199966430664,2.74000000953674,82.6609756097561,14.4255412045109,0.8971426008164
ISR,0.244953121040659,0.763,40774.1296073227,6.05790996551514,5.1,88.120002746582,4.21999979019165,82.5512195121951,11.725446660346,1.49202150597373
JAM,4.3783986499156,0.544,5070.0995030616,5.26016998291016,2.3,60.6300010681152,11.6300001144409,74.267,8.69333152563913,56.3877339731475
JPN,0.484199796126387,0.844,38834.0529341227,3.13057994842529,17.0,89.5800018310547,2.79999995231628,84.099756097561,27.1094794248515,0.239994865051044
KAZ,7.44000437325754,0.746,9247.58133129626,2.75081992149353,20.8,75.5699996948242,4.90000009536743,72.95,7.1368232522322,5.0608342699564
